Percent_families_BPL,Percent_over_5yrs_not_speak_english_well,Percent_HS_grad_25yrs_above,Percent_with_health_insurance,ZIP
2.8,2.6,32.0,95.7,07419
3.2,9.1,40.5,83.9,07420
4.1,0.9,39.4,91.6,07421
4.0,2.4,35.4,87.1,07422
0.0,3.9,6.4,97.7,07423
4.9,9.2,38.0,88.1,07424
0.5,5.1,19.4,94.5,07430
2.5,3.8,25.7,91.0,07432
4.2,1.3,25.6,95.5,07435
1.6,3.4,20.4,95.0,07436
4.3,2.3,31.9,95.3,07438
2.5,1.6,36.6,92.2,07439
0.0,5.3,27.9,95.0,07440
4.6,11.2,39.1,89.5,07442
1.9,3.7,25.9,94.5,07444
0.7,4.0,14.8,97.6,07446
3.0,6.5,9.1,96.6,07450
1.8,3.5,12.3,96.9,07452
1.3,3.7,24.8,96.1,07456
3.0,5.7,25.8,91.6,07457
1.8,6.3,15.6,96.0,07458
0.0,1.3,30.5,92.6,07460
3.9,1.9,35.2,90.0,07461
6.9,1.0,34.0,87.3,07462
5.3,4.9,20.4,95.8,07463
1.7,6.3,30.2,95.6,07465
2.4,8.7,24.9,93.7,07470
2.2,2.6,32.6,91.4,07480
1.3,4.5,14.5,97.7,07481
-666666666.0,-666666666.0,-666666666.0,-666666666.0,07495
34.3,30.0,37.3,79.8,07501
16.9,24.4,39.5,83.1,07502
23.2,39.1,40.5,70.5,07503
14.0,26.4,37.8,75.8,07504
33.0,38.3,40.1,71.0,07505
4.0,7.6,35.7,89.7,07506
8.0,12.6,32.9,87.8,07508
3.8,8.3,30.9,94.1,07512
20.9,46.1,46.5,70.8,07513
26.0,27.3,42.4,75.8,07514
37.4,26.6,42.1,80.0,07522
30.7,36.9,42.2,79.6,07524
12.9,19.3,30.9,81.4,07601
8.1,13.3,32.1,86.6,07603
5.0,11.2,30.5,89.2,07604
12.8,23.9,16.9,80.3,07605
9.9,24.7,48.5,81.6,07606
4.3,13.6,29.9,89.6,07607
12.5,10.6,55.7,80.0,07608
8.3,13.5,13.3,91.3,07620
6.7,17.8,29.3,88.5,07621
2.2,15.2,21.8,90.2,07624
3.4,12.8,16.0,94.4,07626
1.9,11.7,14.4,95.6,07627
1.9,11.7,26.7,93.1,07628
4.0,5.1,22.4,94.1,07630
10.2,12.8,22.3,85.3,07631
1.6,18.0,16.0,95.1,07632
3.4,10.3,15.8,92.5,07640
0.6,4.9,10.3,94.1,07641
12.9,21.3,36.5,83.7,11575
2.8,9.3,9.2,96.3,11576
3.4,11.8,13.2,92.2,11577
2.8,4.0,14.2,95.0,11579
5.8,15.7,27.0,91.0,11580
4.4,12.8,23.3,91.9,11581
5.7,23.4,25.2,85.4,11590
2.6,8.0,19.0,96.7,11596
4.3,3.7,13.0,97.5,11598
21.0,17.2,26.8,88.3,11691
19.6,13.8,26.9,89.0,11692
18.3,12.7,31.7,89.4,11693
4.0,6.8,19.5,93.7,11694
4.6,0.2,24.5,97.0,11697
7.2,17.0,30.9,85.3,11701
2.6,4.7,26.3,94.6,11702
4.5,8.1,38.9,93.0,11703
4.7,11.2,37.4,92.7,11704
5.4,0.8,17.5,96.6,11705
6.4,17.0,31.2,88.3,11706
4.5,2.5,25.7,94.8,11709
2.0,4.5,25.6,95.5,11710
12.5,5.1,24.5,90.8,11713
2.0,4.0,32.0,94.5,11714
3.0,1.6,27.5,94.2,11715
4.6,3.3,35.4,96.8,11716
9.3,37.8,37.3,79.0,11717
1.1,1.0,17.6,95.6,11718
2.2,1.2,21.0,95.6,11719
4.6,6.4,31.6,92.8,11720
2.8,1.1,13.8,97.6,11721
11.5,27.5,32.9,80.6,11722
1.0,3.4,12.1,96.3,11724
2.3,4.0,23.0,97.1,11725
5.8,35.3,36.8,84.8,11726
4.2,9.7,27.5,93.2,11727
4.2,8.1,34.2,92.3,11729
2.8,1.3,30.3,96.7,11730
2.5,3.9,23.8,95.1,11731
2.4,3.2,18.2,97.9,11732
1.6,6.1,15.4,97.2,11733
3.1,7.5,30.4,94.1,11735
3.3,7.8,36.2,90.3,11738
4.8,1.0,20.9,96.6,11739
2.7,3.9,20.8,96.3,11740
1.4,3.0,30.9,93.9,11741
4.5,4.1,26.6,94.6,11742
3.5,5.0,17.8,95.5,11743
6.5,14.7,21.7,89.5,11746
3.8,4.3,20.2,98.3,11747
2.5,13.4,32.4,91.2,11749
4.1,3.3,30.6,95.9,11751
4.5,3.0,37.5,95.6,11752
3.8,10.3,8.7,96.8,11753
3.6,3.3,24.0,95.8,11754
7.4,6.1,27.4,93.1,11755
2.0,6.4,31.3,96.0,11756
4.8,12.0,38.5,90.6,11757
3.1,5.2,30.3,95.6,11758
2.0,1.5,29.2,96.6,11762
4.8,7.9,34.0,91.6,11763
4.0,3.9,23.7,98.4,11764
5.4,4.9,13.2,96.3,11765
4.8,4.1,21.6,96.8,11766
2.4,5.1,27.0,97.1,11767
1.8,2.0,16.0,97.1,11768
1.7,2.3,24.8,95.4,11769
0.0,5.8,10.6,94.7,11770
2.5,3.7,20.7,95.5,11771
8.6,9.3,34.8,87.1,11772
5.2,8.0,31.9,93.7,11776
1.8,4.5,16.6,96.0,11777
3.9,4.3,29.1,92.9,11778
